Age [Days];2.5 % Percentile;97.5 % Percentile 
0;0.32;1.01
1;0.31;1
2;0.3;0.98
3;0.3;0.97
4;0.29;0.95
5;0.28;0.94
6;0.27;0.92
7;0.27;0.9
8;0.26;0.89
9;0.25;0.87
10;0.25;0.86
11;0.24;0.84
12;0.24;0.83
13;0.23;0.81
14;0.22;0.8
15;0.22;0.78
16;0.21;0.76
17;0.21;0.75
18;0.2;0.73
19;0.2;0.72
20;0.19;0.71
21;0.19;0.69
22;0.19;0.68
23;0.18;0.66
24;0.18;0.65
25;0.18;0.64
26;0.17;0.62
27;0.17;0.61
28;0.17;0.6
29;0.16;0.57
30;0.16;0.56
31;0.16;0.55
32;0.16;0.54
33;0.16;0.52
34;0.15;0.51
35;0.15;0.5
36;0.15;0.49
37;0.15;0.48
38;0.15;0.47
39;0.15;0.46
40;0.15;0.45
41;0.15;0.44
42;0.15;0.43
43;0.15;0.42
44;0.15;0.41
45;0.15;0.41
46;0.15;0.4
47;0.15;0.39
48;0.15;0.39
49;0.15;0.38
50;0.15;0.37
52;0.15;0.36
54;0.15;0.36
55;0.15;0.35
58;0.15;0.34
59;0.15;0.34
61;0.15;0.34
64;0.15;0.33
65;0.15;0.33
70;0.15;0.33
79;0.15;0.34
82;0.16;0.34
88;0.16;0.34
181;0.16;0.34
185;0.16;0.34
186;0.16;0.35
305;0.16;0.35
321;0.17;0.35
347;0.17;0.36
361;0.17;0.36
376;0.17;0.36
411;0.17;0.36
501;0.17;0.37
508;0.17;0.37
532;0.17;0.37
557;0.18;0.37
563;0.18;0.37
628;0.18;0.37
647;0.18;0.38
692;0.18;0.38
698;0.18;0.38
741;0.18;0.38
785;0.18;0.39
786;0.19;0.39
835;0.19;0.39
857;0.19;0.39
858;0.19;0.39
909;0.19;0.39
916;0.19;0.4
1007;0.2;0.4
1009;0.2;0.4
1013;0.2;0.4
1035;0.2;0.4
1042;0.2;0.41
1070;0.2;0.41
1149;0.2;0.41
1164;0.2;0.42
1220;0.21;0.42
1225;0.21;0.42
1230;0.21;0.42
1278;0.21;0.42
1282;0.21;0.43
1312;0.21;0.43
1373;0.21;0.43
1397;0.21;0.44
1400;0.21;0.44
1422;0.21;0.44
1425;0.22;0.44
1456;0.22;0.44
1509;0.22;0.45
1516;0.22;0.45
1598;0.22;0.45
1610;0.22;0.45
1619;0.22;0.46
1624;0.23;0.46
1628;0.23;0.46
1654;0.23;0.46
1726;0.23;0.47
1736;0.23;0.47
1738;0.23;0.47
1790;0.23;0.47
1794;0.23;0.47
1817;0.24;0.47
1831;0.24;0.48
1842;0.24;0.48
1876;0.24;0.48
1923;0.24;0.48
1934;0.24;0.49
1948;0.24;0.49
1973;0.24;0.49
2005;0.25;0.49
2012;0.25;0.49
2036;0.25;0.5
2052;0.25;0.5
2055;0.25;0.5
2136;0.25;0.51
2147;0.25;0.51
2148;0.25;0.51
2156;0.25;0.51
2186;0.25;0.51
2188;0.26;0.51
2235;0.26;0.52
2261;0.26;0.52
2282;0.26;0.52
2319;0.26;0.52
2324;0.26;0.52
2334;0.26;0.53
2367;0.26;0.53
2368;0.27;0.53
2417;0.27;0.53
2434;0.27;0.54
2453;0.27;0.54
2476;0.27;0.54
2500;0.27;0.54
2533;0.27;0.55
2546;0.28;0.55
2552;0.28;0.55
2587;0.28;0.55
2589;0.28;0.55
2633;0.28;0.56
2680;0.28;0.56
2689;0.28;0.56
2701;0.28;0.56
2725;0.29;0.56
2729;0.29;0.56
2735;0.29;0.57
2820;0.29;0.57
2828;0.29;0.57
2837;0.29;0.58
2865;0.29;0.58
2873;0.29;0.58
2904;0.3;0.58
2941;0.3;0.59
2944;0.3;0.59
2967;0.3;0.59
3022;0.3;0.59
3047;0.3;0.6
3057;0.3;0.6
3072;0.3;0.6
3083;0.31;0.6
3109;0.31;0.6
3154;0.31;0.61
3177;0.31;0.61
3203;0.31;0.61
3251;0.31;0.61
3261;0.31;0.62
3262;0.31;0.62
3263;0.32;0.62
3336;0.32;0.62
3337;0.32;0.62
3370;0.32;0.63
3394;0.32;0.63
3445;0.33;0.63
3472;0.33;0.63
3478;0.33;0.64
3483;0.33;0.64
3501;0.33;0.64
3536;0.33;0.64
3585;0.33;0.65
3606;0.33;0.65
3629;0.34;0.65
3669;0.34;0.65
3677;0.34;0.65
3691;0.34;0.66
3724;0.34;0.66
3739;0.34;0.66
3793;0.34;0.67
3815;0.34;0.67
3817;0.35;0.67
3839;0.35;0.67
3868;0.35;0.67
3892;0.35;0.68
3950;0.35;0.68
3984;0.35;0.68
3988;0.35;0.69
3992;0.35;0.69
4007;0.36;0.69
4080;0.36;0.7
4081;0.36;0.7
4112;0.36;0.7
4168;0.36;0.71
4171;0.36;0.71
4196;0.37;0.71
4206;0.37;0.71
4226;0.37;0.71
4252;0.37;0.72
4325;0.37;0.72
4330;0.37;0.72
4332;0.37;0.73
4335;0.37;0.73
4377;0.38;0.73
4410;0.38;0.74
4438;0.38;0.74
4441;0.38;0.74
4482;0.38;0.74
4484;0.38;0.75
4512;0.38;0.75
4542;0.38;0.75
4546;0.38;0.75
4548;0.39;0.75
4555;0.39;0.76
4624;0.39;0.77
4627;0.39;0.77
4642;0.39;0.77
4648;0.39;0.77
4690;0.39;0.78
4708;0.4;0.78
4739;0.4;0.78
4744;0.4;0.78
4751;0.4;0.78
4754;0.4;0.79
4768;0.4;0.79
4817;0.4;0.8
4834;0.4;0.8
4836;0.4;0.8
4857;0.41;0.8
4878;0.41;0.81
4904;0.41;0.81
4924;0.41;0.81
4929;0.41;0.81
4937;0.41;0.82
4972;0.41;0.82
4994;0.42;0.82
4995;0.42;0.83
5009;0.42;0.83
5024;0.42;0.83
5039;0.42;0.83
5053;0.42;0.84
5090;0.42;0.84
5109;0.42;0.85
5118;0.42;0.85
5123;0.43;0.85
5165;0.43;0.86
5169;0.43;0.86
5174;0.43;0.86
5188;0.43;0.86
5213;0.43;0.86
5220;0.43;0.87
5243;0.44;0.87
5245;0.44;0.87
5274;0.44;0.88
5309;0.44;0.88
5310;0.44;0.88
5319;0.44;0.88
5328;0.44;0.89
5357;0.45;0.89
5382;0.45;0.9
5391;0.45;0.9
5404;0.45;0.9
5418;0.45;0.9
5435;0.45;0.91
5448;0.45;0.91
5463;0.45;0.91
5466;0.46;0.91
5488;0.46;0.92
5500;0.46;0.92
5533;0.46;0.92
5541;0.46;0.93
5571;0.47;0.93
5589;0.47;0.93
5594;0.47;0.94
5596;0.47;0.94
5602;0.47;0.94
5647;0.47;0.95
5669;0.47;0.95
5670;0.47;0.95
5672;0.48;0.95
5692;0.48;0.95
5700;0.48;0.96
5735;0.48;0.96
5739;0.48;0.96
5753;0.48;0.97
5772;0.49;0.97
5789;0.49;0.97
5807;0.49;0.98
5860;0.49;0.99
5869;0.5;0.99
5874;0.5;0.99
5884;0.5;0.99
5886;0.5;0.99
5913;0.5;1
5942;0.5;1
5945;0.5;1
5965;0.51;1
5967;0.51;1.01
5982;0.51;1.01
6010;0.51;1.01
6020;0.51;1.02
6038;0.51;1.02
6059;0.52;1.02
6074;0.52;1.03
6077;0.52;1.03
