Age [Days];2.5 % Percentile;97.5 % Percentile 
0;0.33;0.97
1;0.32;0.95
2;0.32;0.94
3;0.31;0.92
4;0.3;0.9
5;0.29;0.88
6;0.28;0.87
7;0.28;0.85
8;0.27;0.83
9;0.26;0.81
10;0.26;0.8
11;0.25;0.78
12;0.24;0.77
13;0.23;0.75
14;0.23;0.73
15;0.22;0.72
16;0.22;0.7
17;0.21;0.69
18;0.21;0.67
19;0.2;0.66
20;0.19;0.65
21;0.19;0.63
22;0.19;0.62
23;0.18;0.61
24;0.18;0.6
25;0.17;0.59
26;0.17;0.57
27;0.17;0.56
28;0.17;0.55
29;0.16;0.53
30;0.16;0.52
31;0.16;0.51
32;0.15;0.51
33;0.15;0.5
34;0.15;0.49
35;0.15;0.48
36;0.15;0.47
37;0.15;0.46
38;0.15;0.45
39;0.15;0.45
40;0.15;0.44
41;0.15;0.43
42;0.14;0.43
43;0.14;0.42
44;0.14;0.41
45;0.14;0.41
46;0.14;0.4
47;0.14;0.4
48;0.14;0.39
49;0.14;0.39
50;0.14;0.38
52;0.15;0.37
54;0.15;0.37
55;0.15;0.36
58;0.15;0.36
59;0.15;0.35
61;0.15;0.35
64;0.15;0.35
65;0.15;0.34
70;0.15;0.34
79;0.15;0.34
82;0.15;0.34
88;0.15;0.35
181;0.16;0.35
185;0.16;0.35
186;0.16;0.35
305;0.16;0.36
321;0.16;0.36
347;0.16;0.36
361;0.16;0.36
376;0.16;0.36
411;0.17;0.36
501;0.17;0.36
508;0.17;0.37
532;0.17;0.37
557;0.17;0.37
563;0.17;0.37
628;0.18;0.37
647;0.18;0.37
692;0.18;0.38
698;0.18;0.38
741;0.18;0.38
785;0.18;0.38
786;0.18;0.38
835;0.19;0.38
857;0.19;0.39
858;0.19;0.39
909;0.19;0.39
916;0.19;0.39
1007;0.19;0.39
1009;0.19;0.4
1013;0.19;0.4
1035;0.2;0.4
1042;0.2;0.4
1070;0.2;0.4
1149;0.2;0.41
1164;0.2;0.41
1220;0.2;0.41
1225;0.2;0.41
1230;0.21;0.41
1278;0.21;0.42
1282;0.21;0.42
1312;0.21;0.42
1373;0.21;0.42
1397;0.21;0.42
1400;0.21;0.43
1422;0.22;0.43
1425;0.22;0.43
