Age [Days];2.5 % Percentile;97.5 % Percentile 
365;2;6
730;2;6
1095;3;6
1460;4;6
1825;4;6
2190;5;6
2555;4;6
2920;3;5
3285;3;5
3650;3;7
4015;3;7
4380;3;7
4745;2;7
5110;2;6
5475;2;6
5840;1;6
6205;1;6
6570;1;6
6935;2;7
7300;2;7
7665;2;7
8030;3;8
8395;3;8
8760;4;9
9125;4;9
9490;4;9
9855;4;9
10220;4;9
10585;4;9
10950;4;9
11315;4;9
11680;4;9
12045;4;9
12410;4;9
12775;4;9
13140;4;9
13505;4;9
13870;4;9
14235;4;9
14600;4;9
14965;4;9
15330;4;9
15695;4;9
16060;4;9
16425;4;9
16790;4;9
17155;4;9
17520;4;9
17885;4;9
18250;4;9
18615;4;9
18980;4;9
19345;4;9
19710;4;9
20075;4;9
20440;4;9
20805;4;9
21170;4;9
21535;4;9
21900;4;9
22265;4;9
22630;4;9
22995;4;9
23360;4;9
23725;4;9
24090;4;9
24455;4;9
24820;4;9
25185;4;9
25550;4;9
25915;4;9
26280;4;9
26645;4;9
27010;4;9
27375;4;9
27740;4;9
28105;4;9
28470;4;9
28835;4;9
29200;4;9
29565;4;9
29930;4;9
30295;4;9
30660;4;9
31025;4;9
31390;4;9
31755;4;9
32120;4;9
32485;4;9
32850;4;9
33215;4;9
33580;4;9
33945;4;9
34310;4;9
34675;4;9
35040;4;9
35405;4;9
35770;4;9
36135;4;9
